"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Virtaama","Menetelmä","Epävarmuus-tekijät","Koronavirus-tulos näytteestä","Normalisoitu RNA-lukumäärä"
"2025-02-10","Kuhasalo","Joensuu","98000","15148","dPCR A","","Havaittiin","7733"
"2025-02-03","Kuhasalo","Joensuu","98000","16172","dPCR A","","Havaittiin","20357"
"2025-01-20","Kuhasalo","Joensuu","98000","14905","dPCR A","","Havaittiin","41211"
"2025-01-13","Kuhasalo","Joensuu","98000","14254","dPCR A","","Havaittiin","31864"
"2024-12-30","Kuhasalo","Joensuu","98000","17353","dPCR A","","Havaittiin","191553"
"2024-12-16","Kuhasalo","Joensuu","98000","15238","qPCR C","","Havaittiin","350557"
"2024-12-09","Kuhasalo","Joensuu","98000","16133","qPCR C","","Havaittiin","296011"
"2024-11-25","Kuhasalo","Joensuu","98000","14296","qPCR C","","Havaittiin","227704"
"2024-11-18","Kuhasalo","Joensuu","98000","14864","qPCR C","","Havaittiin","262414"
"2024-11-11","Kuhasalo","Joensuu","98000","14132","qPCR C","","Havaittiin","136822"
"2024-11-04","Kuhasalo","Joensuu","98000","14204","qPCR C","","Havaittiin","84260"
"2024-10-28","Kuhasalo","Joensuu","98000","14251","qPCR C","","Havaittiin","114532"
"2024-10-21","Kuhasalo","Joensuu","98000","14115","qPCR C","","Havaittiin","120113"
"2024-10-14","Kuhasalo","Joensuu","98000","13396","qPCR C","","Havaittiin","78067"
"2024-10-07","Kuhasalo","Joensuu","98000","15360","qPCR C","","Havaittiin","71836"
"2024-09-30","Kuhasalo","Joensuu","98000","14389","qPCR C","","Havaittiin","80276"
"2024-09-23","Kuhasalo","Joensuu","98000","13372","qPCR C","","Havaittiin","85277"
"2024-09-16","Kuhasalo","Joensuu","98000","14285","qPCR C","","Havaittiin","72242"
"2024-09-09","Kuhasalo","Joensuu","98000","13716","qPCR C","","Havaittiin","111414"
"2024-09-02","Kuhasalo","Joensuu","98000","14312","qPCR C","a","Havaittiin","129629"
"2024-08-26","Kuhasalo","Joensuu","98000","14502","qPCR C","","Havaittiin","121228"
"2024-07-29","Kuhasalo","Joensuu","98000","13622","qPCR C","","Havaittiin","97171"
"2024-07-01","Kuhasalo","Joensuu","98000","15039","qPCR C","","Havaittiin","34219"
"2024-06-17","Kuhasalo","Joensuu","98000","16664","qPCR C","","Havaittiin","18608"
"2024-05-20","Kuhasalo","Joensuu","98000","22394","qPCR C","","Havaittiin","33581"
"2024-05-06","Kuhasalo","Joensuu","98000","28886","qPCR C","","Havaittiin","27215"
"2024-04-22","Kuhasalo","Joensuu","98000","26636","qPCR C","","Havaittiin","10824"
"2024-04-08","Kuhasalo","Joensuu","98000","26380","qPCR C","","Havaittiin","11945"
"2024-04-02","Kuhasalo","Joensuu","98000","25821","qPCR C","","Havaittiin","14990"
"2024-03-25","Kuhasalo","Joensuu","98000","18931","qPCR C","","Havaittiin","18549"
"2024-03-18","Kuhasalo","Joensuu","98000","22632","qPCR C","","Havaittiin","15586"
"2024-03-11","Kuhasalo","Joensuu","98000","15790","qPCR C","","Havaittiin","14580"
"2024-03-04","Kuhasalo","Joensuu","98000","15435","qPCR C","","Havaittiin","16386"
"2024-02-26","Kuhasalo","Joensuu","98000","17370","qPCR C","","Havaittiin","28428"
"2024-02-19","Kuhasalo","Joensuu","98000","14271","qPCR C","","Havaittiin","15441"
"2024-02-12","Kuhasalo","Joensuu","98000","14354","qPCR C","","Havaittiin","14182"
"2024-02-05","Kuhasalo","Joensuu","98000","14368","qPCR C","","Havaittiin","21006"
"2024-01-29","Kuhasalo","Joensuu","98000","14518","qPCR C","","Havaittiin","27629"
"2024-01-22","Kuhasalo","Joensuu","98000","14523","qPCR C","","Havaittiin","39269"
"2024-01-15","Kuhasalo","Joensuu","98000","15134","qPCR C","","Havaittiin","63998"
"2024-01-08","Kuhasalo","Joensuu","98000","15433","qPCR C","","Havaittiin","46447"
"2023-12-18","Kuhasalo","Joensuu","98000","16492","qPCR C","","Havaittiin","99246"
"2023-12-11","Kuhasalo","Joensuu","98000","16636","qPCR C","","Havaittiin","212893"
"2023-12-04","Kuhasalo","Joensuu","98000","17859","qPCR C","","Havaittiin","146840"
"2023-11-27","Kuhasalo","Joensuu","98000","17390","qPCR C","","Havaittiin","424590"
"2023-11-20","Kuhasalo","Joensuu","98000","19804","qPCR C","","Havaittiin","441535"
"2023-11-13","Kuhasalo","Joensuu","98000","23920","qPCR C","","Havaittiin","669463"
"2023-11-06","Kuhasalo","Joensuu","98000","21199","qPCR C","","Havaittiin","444943"
"2023-10-30","Kuhasalo","Joensuu","98000","19121","qPCR C","","Havaittiin","315701"
"2023-10-23","Kuhasalo","Joensuu","98000","21344","qPCR C","","Havaittiin","156880"
"2023-10-16","Kuhasalo","Joensuu","98000","28250","qPCR C","","Havaittiin","102760"
"2023-10-09","Kuhasalo","Joensuu","98000","24698","qPCR C","","Havaittiin","35448"
"2023-10-02","Kuhasalo","Joensuu","98000","20040","qPCR C","","Havaittiin","22027"
"2023-09-25","Kuhasalo","Joensuu","98000","19705","qPCR C","","Havaittiin","25772"
"2023-09-18","Kuhasalo","Joensuu","98000","24350","qPCR C","","Havaittiin","10438"
"2023-09-11","Kuhasalo","Joensuu","98000","16081","qPCR C","","Havaittiin","25688"
"2023-09-04","Kuhasalo","Joensuu","98000","15624","qPCR C","","Havaittiin","26216"
"2023-08-28","Kuhasalo","Joensuu","98000","15197","qPCR C","b","Havaittiin","17778"
"2023-08-21","Kuhasalo","Joensuu","98000","15470","qPCR C","","Havaittiin","14664"
"2023-08-14","Kuhasalo","Joensuu","98000","17108","qPCR C","","Havaittiin","22012"
"2023-08-07","Kuhasalo","Joensuu","98000","18056","qPCR C","a","Havaittiin (alhainen määrä)",""
"2023-07-31","Kuhasalo","Joensuu","98000","19806","qPCR C","a","Havaittiin (alhainen määrä)",""
"2023-07-02","Kuhasalo","Joensuu","98000","15181","qPCR C","(b)","Havaittiin","25256"
"2023-06-25","Kuhasalo","Joensuu","98000","15964","qPCR C","b","Havaittiin","26063"
"2023-06-18","Kuhasalo","Joensuu","98000","14360","qPCR C","","Havaittiin","15091"
"2023-06-11","Kuhasalo","Joensuu","98000","14579","qPCR C","","Havaittiin","16399"
"2023-06-04","Kuhasalo","Joensuu","98000","15623","qPCR C","","Havaittiin","27922"
"2023-05-28","Kuhasalo","Joensuu","98000","16515","qPCR C","","Havaittiin","27915"
"2023-05-21","Kuhasalo","Joensuu","98000","18138","qPCR C","","Havaittiin","55200"
"2023-05-14","Kuhasalo","Joensuu","98000","20188","qPCR C","","Havaittiin","107594"
"2023-05-07","Kuhasalo","Joensuu","98000","24641","qPCR C","","Havaittiin","121268"
"2023-05-01","Kuhasalo","Joensuu","98000","28263","qPCR C","","Havaittiin","125856"
"2023-04-23","Kuhasalo","Joensuu","98000","31005","qPCR C","","Havaittiin","173056"
"2023-04-16","Kuhasalo","Joensuu","98000","24959","qPCR C","","Havaittiin","158797"
"2023-04-10","Kuhasalo","Joensuu","98000","23418","qPCR C","","Havaittiin","256297"
"2023-04-02","Kuhasalo","Joensuu","98000","16472","qPCR C","","Havaittiin","29288"
"2023-03-26","Kuhasalo","Joensuu","98000","18269","qPCR C","","Havaittiin","55857"
"2023-03-19","Kuhasalo","Joensuu","98000","15628","qPCR C","","Havaittiin","39242"
"2023-03-12","Kuhasalo","Joensuu","98000","14047","qPCR C","","Havaittiin","130751"
"2023-03-05","Kuhasalo","Joensuu","98000","13885","qPCR C","","Havaittiin","30858"
"2023-02-26","Kuhasalo","Joensuu","98000","14516","qPCR C","","Havaittiin","14377"
"2023-02-19","Kuhasalo","Joensuu","98000","14280","qPCR C","","Havaittiin","19835"
"2023-02-12","Kuhasalo","Joensuu","98000","14527","qPCR C","c","Havaittiin","11354"
"2023-02-05","Kuhasalo","Joensuu","98000","14449","qPCR C","","Havaittiin","64913"
"2023-01-29","Kuhasalo","Joensuu","98000","15691","qPCR C","","Havaittiin","24188"
"2023-01-22","Kuhasalo","Joensuu","98000","15636","qPCR C","","Havaittiin","85560"
"2023-01-15","Kuhasalo","Joensuu","98000","17420","qPCR C","","Havaittiin","80933"
"2023-01-08","Kuhasalo","Joensuu","98000","14027","qPCR C","","Havaittiin","89370"
"2022-12-18","Kuhasalo","Joensuu","98000","14404","qPCR B","","Havaittiin","59785"
"2022-12-11","Kuhasalo","Joensuu","98000","14870","qPCR B","b","Havaittiin","232514"
"2022-12-04","Kuhasalo","Joensuu","98000","14978","qPCR B","(a) b","Havaittiin","235778"
"2022-11-27","Kuhasalo","Joensuu","98000","15645","qPCR B","b","Havaittiin","259439"
"2022-11-20","Kuhasalo","Joensuu","98000","16476","qPCR B","b","Havaittiin","222977"
"2022-11-13","Kuhasalo","Joensuu","98000","18562","qPCR B","","Havaittiin","95496"
"2022-11-06","Kuhasalo","Joensuu","98000","15807","qPCR B","","Havaittiin","86330"
"2022-11-06","Kuhasalo","Joensuu","98000","15807","qPCR A","","Havaittiin","169837"
"2022-10-30","Kuhasalo","Joensuu","98000","15152","qPCR B","","Havaittiin","53238"
"2022-10-30","Kuhasalo","Joensuu","98000","15152","qPCR A","","Havaittiin","208077"
"2022-10-23","Kuhasalo","Joensuu","98000","15212","qPCR B","","Havaittiin","168858"
"2022-10-23","Kuhasalo","Joensuu","98000","15212","qPCR A","","Havaittiin","402076"
"2022-10-16","Kuhasalo","Joensuu","98000","16657","qPCR B","b","Havaittiin","85676"
"2022-10-16","Kuhasalo","Joensuu","98000","16657","qPCR A","b","Havaittiin","365927"
"2022-10-09","Kuhasalo","Joensuu","98000","15020","qPCR B","b","Havaittiin","177405"
"2022-10-09","Kuhasalo","Joensuu","98000","15020","qPCR A","b","Havaittiin","214245"
"2022-10-02","Kuhasalo","Joensuu","98000","13438","qPCR B","","Havaittiin","50084"
"2022-10-02","Kuhasalo","Joensuu","98000","13438","qPCR A","","Havaittiin","245834"
"2022-09-25","Kuhasalo","Joensuu","98000","13762","qPCR B","","Havaittiin","257684"
"2022-09-25","Kuhasalo","Joensuu","98000","13762","qPCR A","","Havaittiin","595267"
"2022-09-18","Kuhasalo","Joensuu","98000","14318","qPCR B","b","Havaittiin","36242"
"2022-09-18","Kuhasalo","Joensuu","98000","14318","qPCR A","b","Havaittiin","113729"
"2022-09-11","Kuhasalo","Joensuu","98000","13654","qPCR B","","Havaittiin","83129"
"2022-09-11","Kuhasalo","Joensuu","98000","13654","qPCR A","","Havaittiin","133949"
"2022-09-04","Kuhasalo","Joensuu","98000","14185","qPCR B","a b","Havaittiin","23363"
"2022-09-04","Kuhasalo","Joensuu","98000","14185","qPCR A","a b","Havaittiin","124863"
"2022-08-28","Kuhasalo","Joensuu","98000","15407","qPCR B","b","Havaittiin","38274"
"2022-08-28","Kuhasalo","Joensuu","98000","15407","qPCR A","b","Havaittiin","112677"
"2022-08-21","Kuhasalo","Joensuu","98000","14049","qPCR B","b","Havaittiin","24706"
"2022-08-21","Kuhasalo","Joensuu","98000","14049","qPCR A","b","Havaittiin","85373"
"2022-08-14","Kuhasalo","Joensuu","98000","15438","qPCR B","b","Havaittiin","80397"
"2022-08-14","Kuhasalo","Joensuu","98000","15438","qPCR A","b","Havaittiin","265099"
"2022-08-07","Kuhasalo","Joensuu","98000","16989","qPCR B","b","Havaittiin","36154"
"2022-08-07","Kuhasalo","Joensuu","98000","16989","qPCR A","b","Havaittiin","124997"
"2022-07-31","Kuhasalo","Joensuu","98000","17760","qPCR B","b","Havaittiin","209572"
"2022-07-31","Kuhasalo","Joensuu","98000","17760","qPCR A","b","Havaittiin","246230"
"2022-07-24","Kuhasalo","Joensuu","98000","16667","qPCR B","","Havaittiin","107864"
"2022-07-24","Kuhasalo","Joensuu","98000","16667","qPCR A","","Havaittiin","358858"
"2022-07-17","Kuhasalo","Joensuu","98000","19241","qPCR B","","Havaittiin","12876"
"2022-07-17","Kuhasalo","Joensuu","98000","19241","qPCR A","","Havaittiin","304292"
"2022-07-10","Kuhasalo","Joensuu","98000","18048","qPCR B","b","Havaittiin","39389"
"2022-07-10","Kuhasalo","Joensuu","98000","18048","qPCR A","b","Havaittiin","254934"
"2022-07-03","Kuhasalo","Joensuu","98000","16125","qPCR B","a","Havaittiin","66127"
"2022-07-03","Kuhasalo","Joensuu","98000","16125","qPCR A","a","Havaittiin","427974"
"2022-06-26","Kuhasalo","Joensuu","98000","18088","qPCR B","(a)","Havaittiin","31263"
"2022-06-26","Kuhasalo","Joensuu","98000","18088","qPCR A","(a)","Havaittiin","117592"
"2022-06-19","Kuhasalo","Joensuu","98000","24243","qPCR A","","Havaittiin","103775"
"2022-06-12","Kuhasalo","Joensuu","98000","18993","qPCR A","b","Havaittiin","79459"
"2022-06-05","Kuhasalo","Joensuu","98000","20047","qPCR A","(a) b","Havaittiin","196706"
"2022-05-29","Kuhasalo","Joensuu","98000","21786","qPCR A","b","Havaittiin","104333"
"2022-05-22","Kuhasalo","Joensuu","98000","20866","qPCR A","b","Havaittiin","120048"
"2022-05-15","Kuhasalo","Joensuu","98000","23869","qPCR A","","Havaittiin","88191"
"2022-05-08","Kuhasalo","Joensuu","98000","28917","qPCR A","(a)","Havaittiin","83310"
"2022-05-01","Kuhasalo","Joensuu","98000","28495","qPCR A","","Havaittiin","48520"
"2022-04-24","Kuhasalo","Joensuu","98000","38777","qPCR A","b","Havaittiin","110815"
"2022-04-18","Kuhasalo","Joensuu","98000","32983","qPCR A","","Havaittiin","118039"
"2022-04-10","Kuhasalo","Joensuu","98000","22515","qPCR A","","Havaittiin","305749"
"2022-04-03","Kuhasalo","Joensuu","98000","18079","qPCR A","b","Havaittiin","272028"
"2022-03-27","Kuhasalo","Joensuu","98000","19351","qPCR A","b","Havaittiin","193518"
"2022-03-21","Kuhasalo","Joensuu","98000","19700","qPCR A","","Havaittiin","228727"
"2022-03-13","Kuhasalo","Joensuu","98000","15664","qPCR A","b","Havaittiin","325896"
"2022-03-06","Kuhasalo","Joensuu","98000","15347","qPCR A","","Havaittiin","463786"
"2022-02-27","Kuhasalo","Joensuu","98000","15674","qPCR A","","Havaittiin","598006"
"2022-02-20","Kuhasalo","Joensuu","98000","15900","qPCR A","","Havaittiin","245507"
"2022-02-13","Kuhasalo","Joensuu","98000","15441","qPCR A","","Havaittiin","257898"
"2022-02-06","Kuhasalo","Joensuu","98000","14231","qPCR A","b","Havaittiin","55199"
"2022-01-30","Kuhasalo","Joensuu","98000","15607","qPCR A","","Havaittiin","23401"
"2022-01-23","Kuhasalo","Joensuu","98000","16292","qPCR A","","Havaittiin","199702"
"2022-01-16","Kuhasalo","Joensuu","98000","14751","qPCR A","","Havaittiin","198104"
"2022-01-09","Kuhasalo","Joensuu","98000","15411","qPCR A","b","Havaittiin","114329"
"2022-01-02","Kuhasalo","Joensuu","98000","15093","qPCR A","b","Havaittiin","61184"
"2021-12-19","Kuhasalo","Joensuu","98000","16081","qPCR A","","Havaittiin","17730"
"2021-12-12","Kuhasalo","Joensuu","98000","16746","qPCR A","b","Havaittiin","27364"
"2021-12-06","Kuhasalo","Joensuu","98000","16556","qPCR A","","Havaittiin","70900"
"2021-11-28","Kuhasalo","Joensuu","98000","17846","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-11-21","Kuhasalo","Joensuu","98000","18736","qPCR A","b","Havaittiin","11301"
"2021-11-14","Kuhasalo","Joensuu","98000","18897","qPCR A","b","Havaittiin","8797"
"2021-11-07","Kuhasalo","Joensuu","98000","19854","qPCR A","b","Havaittiin","3726"
"2021-10-31","Kuhasalo","Joensuu","98000","21237","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-10-24","Kuhasalo","Joensuu","98000","18960","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-10-17","Kuhasalo","Joensuu","98000","16750","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-10-10","Kuhasalo","Joensuu","98000","16291","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-10-03","Kuhasalo","Joensuu","98000","16228","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-09-26","Kuhasalo","Joensuu","98000","16611","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-09-19","Kuhasalo","Joensuu","98000","17454","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-09-12","Kuhasalo","Joensuu","98000","18172","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-09-05","Kuhasalo","Joensuu","98000","16222","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-08-29","Kuhasalo","Joensuu","98000","17193","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-08-22","Kuhasalo","Joensuu","98000","16707","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-08-15","Kuhasalo","Joensuu","98000","20348","qPCR A","","Havaittiin (alhainen määrä)",""
"2021-05-30","Kuhasalo","Joensuu","98000","22939","qPCR A","b","Ei havaittu",""
"2021-05-16","Kuhasalo","Joensuu","98000","22439","qPCR A","b","Ei havaittu",""
"2021-05-02","Kuhasalo","Joensuu","98000","25256","qPCR A","b","Ei havaittu",""
"2021-04-18","Kuhasalo","Joensuu","98000","32321","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-04-05","Kuhasalo","Joensuu","98000","26874","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-03-21","Kuhasalo","Joensuu","98000","15014","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-03-07","Kuhasalo","Joensuu","98000","15601","qPCR A","b","Ei havaittu",""
"2021-02-21","Kuhasalo","Joensuu","98000","17003","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-02-07","Kuhasalo","Joensuu","98000","15849","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-01-24","Kuhasalo","Joensuu","98000","18676","qPCR A","b","Havaittiin (alhainen määrä)",""
"2021-01-10","Kuhasalo","Joensuu","98000","17319","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-12-13","Kuhasalo","Joensuu","98000","17912","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-11-29","Kuhasalo","Joensuu","98000","21440","qPCR A","","Havaittiin (alhainen määrä)",""
"2020-11-15","Kuhasalo","Joensuu","98000","19349","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-11-01","Kuhasalo","Joensuu","98000","21936","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-10-18","Kuhasalo","Joensuu","98000","22069","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-10-04","Kuhasalo","Joensuu","98000","17355","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-09-20","Kuhasalo","Joensuu","98000","19494","qPCR A","b","Havaittiin (alhainen määrä)",""
"2020-09-06","Kuhasalo","Joensuu","98000","16714","qPCR A","b","Ei havaittu",""
"2020-08-23","Kuhasalo","Joensuu","98000","17422","qPCR A","a b","Ei havaittu",""
"2020-08-02","Kuhasalo","Joensuu","98000","18662","qPCR A","b","Ei havaittu",""
